TEXT,Sentiment
Jay maharashtra saheb,3
Good balasaheb,3
Kadak,3
I miss you Saheb daivat,2
Miss u balasaheb thakare,2
Baap manus,3
Maharastrachi shan,3
Jai maharashtra,3
mast,3
Amrish puri,2
"Love form Rajasthan 
Bala saabthakre amar rahe",3
Saheb,2
I took Inspiration from you Saheb,3
characterless leader,1
"Jai shivray 
Mahol",3
Aekch saheb balasaheb jai Maharashtra,3
SHIVSENASHREE BALASAHEB  THE KING MAKER,3
Hindu Hridaya Samrat Shri Shri Shri Balasaheb Thakrey,3
Khara janata Raja,1
Nice,3
"Aaareeeeee bhai bhai bhai bahi
Same to same ahet raj thakre saheb pan
Waaah",2
Saheb bala saheb love u,3
Hindu Hriday Samrat Shri Balasaheb Ji ko Pranaam,2
Namantarchya vr ky Bolan ahe h,2
Saheb parat ya tumala miss kartoy aamhi sagle,2
Jai ho,2
Shaheb,2
Very nice speech,3
Marathi tadeka,2
The great power of thakare balasaheb,3
Shivsena should be only in power in mumbai,2
The Maharashtra lion,3
deepak Gardkar omerga shivsena best video,3
Super powerful saheb No  Other Than You Miss you saheb All Maharashtra,3
ekjutine raha,2
"Kay mahanta public  
Kay bolto Mumbai Chaska publick 
Ksa Kay Mumbai Maharashtra 
Shivsena king ",2
Jay Maharashtra ,3
Jai bhwani jai shivray,3
Jai bhavani Jai shivaji,3
Bro iss video ka background music send me bro,2
haa vaad grast nahi tar satya aahetumcha video cha title sudrava,1
On and only king  balasaheb thakre,3
Jara he yudhav bhauna dakhwa  sadhya tehcongressndbaramatikarchya premat padle ahet,2
"Bhot Hard
Aapne Sahab jaisa koi hardich Nahi",2
Mumbai Maharashtra,2
real hero Baba Saheb Thakre from India,3
"Music cha sound jast aahetyamule sawaal clear aiku yet nahi
Jai maharashtrajai hind",2
nice,3
Balasaheb with Steven seagle     ,2
Vilasrao deshmukh,3
Saheb ekach ho mahitiy amhla  year amche saheb king of Hindustan,3
Bala saheb it very late to me to know about you but you r my ideal i ll try to keep learning from u You r really a king big heart personality decision maker Jay ho bala saheb ki,3
Ekta tiger,2
Kadak  rav,2
Ghe bala chakkich ghe aani bada pith,2
"Hindu Hriday Samrat Love you and miss you so much 
I am Not Marathi I am From Bengal",2
Va va,2
Jay Sri Ram,2
Tumhi yave prt,1
Shaheb,2
"Ek tha tiger
Bal thakre",2
Saheb punha janmala yaa,2
The great leader,3
 dum nirbhid vyaktimavt Hindu hruday samrat,3
Rial tiger,2
King of Maharashtra,3
Miss bala saheb,2
dhanya wagh maharastracha wagh amache daivat manaiy saheb  jay maharastra  asa neta hone nahi,1
"Balasaheb ata nhit pn tyanchya nantr fkt ekch maharashtra balasaheb sarkha thevu shkto to mhanje 
Raj thakre",2
sudhir dabahde,2
Pranam Sir,2
Amacha raje hoteach ashe jai BALA SAHEB THAKARE,2
Maharastra me Marathi Gujrat me gujrati Karnatak me Kannadiga Insaan kaha hai,1
Jordarrrr video,3
Saheb tumchi ani hindu che swapn ram mandir purn karu saheb,2
 pramodaji and atalaji was enjoying,3
Bhadkav bhasan deta thmi,1
salute,3
saheb,2
King aahet balasaheb mumbai che,3
Only shivsena,2
Bala saheb mi tumhala baghitle nahi yachi khant mala mare paryant rahil,1
king of Maharashtrabalasaheb,3
Ata muslim comment kra ki hooo,1
Balasaheb tharey,2
Garv Se  Kaho Hum HINDU Hai,2
Hindu ko  sath rakhte the balasaheb thakre me itna taakat tha,3
"Bass ekach hira hota saheb aaple 
Baki aata bolat nay saheb bole ganchi aulad
Jay maharastra",2
Jai hoo balasaheb,3
Saheb  right,3
Bhuknara kutra,1
Nagesh Gaikwad,2
Saheb Parat ya,2
Haa PRABHODHAN KAR THAKARE chaa varas vatat naheer,1
Jay Maharashtra jay hind,3
"ONLY BALASAHEB
JAY HINDURASHTRA",2
We miss you balasaheb ,2
aaj bala sahebancha smruti din Yar udhav ni vat lavli,1
amchimumbai,3
Namantarachya veles dalit samajavr atyachar karnar manus,1
Tumchi garaj ajun ahe ,1
saheb parat ya,2
miss you Balasaheb thakare,2
baba sahab  is  indian tiger    ,3
Mannya surve cha khas manun hota ha,3
Balasaheb       jav   ,3
I miss you saheb,3
The king Balasaheb Thakrey ,3
Shaheb,2
Nice,3
Jai shivsina,3
Nice saheb,3
Are balya magas konla boloto,1
Saheb,3
 hi landa reply det nahi balasahebala dhak dhak dhak,1
full ser video,2
Paati maagay Pramod Mahajan basla ahay kaye Tho thar BJP cha neta,1
Tujhya aaicha puccha,1
Vagh hote sahebmiss you saheb,3
Jay maharashtra saheb,3
Vadgrast dialouge nahi  kharach  bole  maharashtra  cha  wagh  ,3
Saheb,2
Mai jivan me kabi apne darm k Bahar nahi jaoge  vot karuga  kattr hindu ko  chahe modi ho uadav,1
balasaheb wagh ahet,2
balasaheb he wagh hote ahe ani rahi,2
Saheb prat ya,2
Only balasahebji thackrey,2
Hamara shri Balasahab thackery amar raha jai hindutv,3
Balasaheb hey ajunhi amchya hridayat ahettey prateyk Marathi manasachya hridayat ahet,3
Balasaheb hindustan ke real tiger,3
Nice,3
jativadi manus,1
miss you Saheb,2
 trailer     ,2
Jay Maharashtra,3
only rada,1
pan saheb pm Kay zhale nahi,1
bal sahib,2
one and only shivsena pramukh,3
only one tiger Balasahab,2
Marathi manus,2
miss you balasaheb,3
Inspire,3
He dialogue uddhavla aikawa Tyala garaj ahe Uddhav thakare to bik Gaye pawar ke chakkar me,1
no one cant achieve the position which achieve by bala sahab,1
Maharashtra GOD Father,2
God of India,2
Nice,3
Jai hind jai mharashtra,3
HINDU  LION,2
Kiti nalayak hota haaa kahi bolto,1
"Aaj shivsenach Vardapan divas     Ashich  aahe 
Aaj yek bhagvya vicharanch vadal aaj aamchyat nahi Pan hya aavajane Khambir ubhe rahnyachi takat Dili 
Mi lahan manje   varshach hoto tevha naygav Dadar la Rahat hoto   Dadar madhe Kaylas lasi vala aahe mi maji aai aani lahan bahin lassi pinya Sathi gelo hoto achank dhavpal Suru jhali Kahi kalena Maji aai mala aani bahinila gheun palat Hoti   kal hota maji aai Khali padhali tichi chappal tutali  payatun rakt yeu lagale Tari ti dogana gheun palat Hoti nantar kalale ki koni tithe scutar madhe bom thevla hota Mi majya aaichya dolyat bhiti pahili Hoti  ashru dolyat pahun mi fakt pahu laglo aammhi sukhrup hoto pan asankhy aaya bahini mansa spotat marali geli  tyani aapale maran tayar karayche aani aapan be savad panane marache ",2
Aaj aap ki jarurat hai is hindu samj ko,3
Love you saheb,3
Apki chhavi raj thackeray me hai,2
balSaheb thaKre mard saheb asate tar hijde brigadi bamsefi kaple asate sale,1
Jai Hind,2
King of Maharashtra,3
balashebimissyoutiger,2
"Jai Maharashtra 
Ek hi tiger balasaheb",2
only shaheb,2
Jai Hind jai Maharashtra,3
Jay maharashtra,3
saheb Hindu hridaysamrat Samrat Balasaheb Thackeray,2
Miss you saheb,2
Ha hahaha racist,1
Saheb te saheb hote shabd mhnje shabd,1
I miss u bala saheb ji,2
Jay shivaji,3
Eakc no,3
Nice,3
one man army bala saaheb Jai hind Jai bhagwa,3
Wote for modiplease Hindu bhahiyo,2
Jay thakray,3
ch saheb Balasaheb thakare saheb,1
"Great bc
seedhi baat no bakwas",1
Don don don don indai,3
Hindu hraday samrat balasahebour proud balasaheb,3
Jai Hind jai Maharashtra,3
Ekta Tiger,2
Real Bhai ,3
haa ek sher tha,1
I  love bala saheb takre,3
Jabardast dilodge,3
JoBola Pachaas TholaEk nosSahebThe ONLY ONE HINDHU KINGNO One Can take his place Jai HindJai Maharashtra ,1
Aatachi Sena mrathi mansancha nahi tar parprntiyanchya lokancha Vikas karnyachya mage lagliy,3
Hindu hrudai Samraat,2
Saheb tummhi Raje ahat  jay shiv ray,3
jay shivsena  Jay balasaheb Thakare,3
Saheb only sahab,2
only  shivsena,2
Miss you saheb,2
Hoy hinduch,2
We miss you bala saheb,3
Esa sher koi ni,2
Jay Maharashtra bhau,3
Saheb,2
Kdk,3
chu saala,1
Jay Maharashtra  Jay shivaji,3
Saheb tumi parat ya tumchi aaj marathi youth la far garaj aahetyana tumche Kattar vichar taru shaktatGreat Maratha,3
Kadak,3
Saheb mahashtracha bagh ahet  jay shivsena,3
Miss you saheb,2
Duplicate anek aale gele Pan  original piece  ekdach hoto,1
Tiger Saheb Thackeray ,3
Only one one BALASAHEB,2
raj sahebach fakt sahebanchi jaga chalavu shaktat,2
Balasaheb is real hero tiger,3
Only Hindu,2
Vadgrast balasaheb,3
"O chtrapati shivaji maharaj jyani purn maharashtra ghdivala tnyala he aadrsh manta na mag shivaji maharaj sobat kitek sainik muslman hote
Nad fakt bhandan lavyacha",2
Daadhi walo se dushmani karta tha Allah ki aisi mar padi ke khud ko daadhi rakhni padi,1
How to prove any sentence MR thakare,2
Jatiwadi,1
"Vaadgrasth Cha Arth Nahi Smjla Bhau
Vaadgrasth Cha Arth Smjavava
Sahebanshi kon vaad ghalel evdhi konachi aukat nvti
Jai Maharashtra",2
Very strong leader Balasaheb,3
Tumchya sarkha manus parat hone shakya nahi,1
Sahebanna bhetnyachi icha apuri rahili pan shivsenene sarvdharm sambhavacha nara dila ahe he haramkhor lok astil tyana sangave jay hind jay maharashtra,3
jay shivray,3
Jai balasaheb,3
jai hindu,3
 Jai Bhavani Jai Shivaji ,3
Har Har Mahadev,3
Udhhav thakerench angavar shahare kaa yet nahi he baghun tyanchya angaat avtarat ka nahi balasaheb,1
Mumbai cha bap,3
balasaheb tech balasaheb,3
Background music band Kar re,1
Good nice,3
Mansa bghto paksh nahi only saheb and rr ba,3
Jai shivaji,3
Hindustan band,1
"Sabhi Indians ko united hona hoga taaki Hum videshiyo ka saamna kar sake Aur Tseries ko jeeta sake  
Jay bhawani Jay shivaji 
Bharat mata Ki jai",2
Miss U SAR SAHEB FAQT AMCHE EKACH  HINDU RUDAY SAMRAT MANANIY BALASHEBE THAKRE,3
Hii,2
Aaj chya kalat aplya maharashtra tumchi khup garaz ahe sir,3
Jio sher,3
Tiger hai our rahega,2
Baba saheb pm nahi ban paaye mujhe khed heaap mahan aatma the Hindu o k rakshak,3
Jay shivaji,3
JAI MANSE JAI MAHARASHTRA,3
"Tumhi have aahet aata 

Saheb aamcha daivat",2
Jai Bhawani,3
Faltu,1
We need this man now jai shivaji,2
Jay balasaheb,3
te aekche Hindu neta hota nahi kavan Marathi manush he purush maji deshna Shan ahe me tyancha sat sat Naman Karat ahe Jai Shree Ram Jai Ganpati Bappa ganray Jay Shivaji maji idol mahapurush,3
only shivsena,2
King king asto,3
Yes Shiv sens has done very much for Marathi manus ShivSens ruled BMC and we can see the progress by peeping inside Marathi school,3
Kdkkkkj,3
Ekch saheb balasaheb  jay jijau jay   shivray,3
Only Bal,2
Atta saheb jivant aste te tr yanna atta chaddi dhuvaychi vel ali asti,1
saheb nahi pan raj saheb ahe tyana pude ana dusra basaheb hoyal vel  nahi lagat,1
Jay,3
Amazing mix,3
"Jai shri ram
Jai bhavani 
Jai shivaji",3
Asa neta hone nahi,1
Miss you saheb,2
Dhungnawar lata marayachi vel nighun chalali aahe kadhi samajanar marathi bandhwanna jay Maharashtra,3
Asa wagh punha hone nahi aata tari garaj aahe maharashtra la ashya khambir netrutva chi,1
 great  ha pn   ,3
Jai Maharashtra,3
Asa manus  kontyach kaliyugat hone shyakya nahi,1
Power ,2
Saheb fakt saheb,3
Tumachya tatala vichara agodar tanhya kunhi sath dili,1
Tiger Tiger cement chya janglattil MumbaiEk KHARA TIGER EVER I SAWEK SHIVSAINIK,3
tumala salam karto saheb,3
Maharashtracha wagh gela Aasa wagh parat yawa,3
Marathi pori salman khan cha fan kute jail Maharashtra kay mahit,1
Ekach Saheb balasaheb,2
"Aasa neta phuna milnaar nahi maharashtra laah
 modi balasaheb chya  tari asata tar deshachey problem zhatkyaat solve zhaley asatey",2
Naad fakta naad,1
Sahi,2
Miss You  Saheb,2
Jai bhim jai Maharashtra,3
Baap baap hota hey,2
The real tiger,3
Ek ch wakya balasaheb fakt hinduche nete hote ,3
Rada radach karanar karan shivsena yet ahe,3
Yekach Saheb balasaheb Ambedkar,3
Bhudhi aani bhashan  hathiyar var  janatavar Raj karata yete ,3
Quran ka alha bhi jise darta tha Wo ak hi tiger balasaheb thakare,1
Jai Maharatra,3
Jai Maharatra,3
Jay Bhavani Jay Shivaji,3
King of India,3
Mhanun tarmaharashtratncp aaaheasli log nait,3
salut saheb ,3
Bap kasa V beta kasa  Paha mitrano,3
Kdkk,3
Kahi bolaychi Majhi layki nahi,1
Aakhanda HINDUSTAN che kavach kundal HINDU  ruday SAMRAT FAKT BALASAHEB ,3
Akshay pawar,2
Uddhav thakare kade  tri gun asayala hawa hota,3
Real tiger,2
Balasaheb sarkha damdar pudhari koni houch sakat nahi hoy hey khara aahe ka balasaheban mulech maharashtra madhe darara hota,3
maratha,2
In  Shivsena will win Maharashtra State Assembly,3
Kaddak video angavarche case ubhi rhali ek katter Hindu,3
Landya mahnun kay musalmanache upadle ka,2
Congress chya pudhe hijde jhuktat     Balasaheb thackeray,1
Hindu Devatttt,3
manacha mujra saheb tumchyasarkha neta parat hone nahi,1
Jai Maharashtra,3
Jai hind,3
Y marathi walayanchi Y Z kara,2
Raj karega Maratha,3
Udhav ni tumcha  ijjat kadhla,1
yar asa manus parat hone nahi yarkhatranakvaktrutva Maharashtra cha khara wagh,3
Asle Marathi manus pudhe aanya chya navakhali svahitacha fayda karun ghenare nete noko mazya deshala  jay shivray,3
Eesh ko bolte taigar,2
Mumbai HERO,3
Ekach saheb Babasaheb,3
sarva sam bhav theva rakta ek aahe jati bhed karu naka,1
Kadhi samjel re tumhala ayushbhar hyachi tyachich jai jai kaar karat phira,1
Are khatarnak ek number kadak Jay Maharashtra jay hind,3
Sivesena Zindabad,3
Title detana tari vichar karava vhannel walyani Ya mahan vayktisathi pn boltatat ki vaadgrast dialogue je tyani bolle te yogyach hote ani ahe sudha Assa manus punha hone nahi,1
Tigerbala saheb,3
Fakt imagine kra Modi yevdhe dhutaat Pappula tr Saahebaanchi tippanni ky asti,2
Balasab hero hay,3
Vagha,2
Brahman ha manuvadi asto aani manuvadi haac jativadi asto,1
Hech balkadu gheun me ata parynt jagat alelo aheme ata yr cha ahepn ata me raj sahebana follow krtomala tyancha madhe tumhi dista,1
Yaad gastr dilog but u mmmmm,2
Only saheb,2
Hindu wagh,2
Babasaheb Ha marathi aahe Shivaji mahaharajanch rakta amchhyt aahe  jiv jail pan marati rakt badalnar nahi Jai Maharashtra jai Shivaji Jai balasaheb,3
Balasaheb punna janmala ya,3
King maker,2
Aaila saryala musalmaanachach lavada aavadto,1
balasaheb tumi zar ata aste tar landyache kahic challe nasti,1
Tiger,2
Maza raja,2
Maza raja,2
Saheb te sahebach,2
Naad karaycha pn balasahebancha kuth Jay maharashtra,3
Aangala kata yeto bhalasaheb vaghach bhashn aaiklyavar,3
aak tha tiger,2
Congress deshdrohi party hai,1
Father of all dons,3
Shivsena  maratha  shivshakti,3
Tiger never die,3
bala saheb tumhi punha jalmalaya  Jay hand Jay Maharashtra,3
Haaaa chotia mansa ,3
Har hindu is Balasaheb thakre,3
kahi nahi bhadkahu hota nusta,1
jai Ho,3
Jai Maharashtra,3
ekch saheb ani ya saglyancha saheb Baba saheb jay bhim jay bhart mazi ekch bhumi ahe te mnje bhart mata  jay hind,3
Majha bap ekach to ahe majha raja Chatraptti Shivaji  maharaj,3
Bas r shant,1
Hindu Warrior,3
Babanchsavidhantyachikimaya,1
Only balraje,3
Kay nay Ho,2
"Svatala shiv sainik mhantat shiv sainikanchya navavar kalank aahet he
Majhya chatrapati shivrayan chya payachi dhul sudha nahi he
Shivrayan kadhi hi jati bhed kela na ha lokanchya manat jati baddal satat dvesh nirman kartayet",2
TALVAR NKO FAKTA EKKI PAHIJE,3
Saglyanche bap hote,3
bhadwya zatos Ka Cargil la ,1
he is the real don,3
Long live the tiger of india BALASAHEB THACKRAY,3
Kahi zala tari ek chuk zali raj thackeray yana shiv sena nahi sopavli aj pan tya nirnayacha dukha hotaaj shiv sena kai asli asti anj maharashtra kai asla asta raj thackeray aste tar Chukla teva he asa vata,3
"Balasaheb tumachi Univ janavate Aaj Maharashtra LA 
Tumacha Porane Mumbai Chi vat lagali",2
   specially                              ,2
"at  
yeh laandya la takkar maarun
jay HHS BALA SAHEB",2
Kontya hi jati dharma badal vaait boleyawar jar kunala abhimaan vatat asel tar techya mansikte war mala  khed ahe ,2
Tigar baba shahab,2
Hindu sher,3
Bala SahebJi  Amar Rahe,3
Only balkadu,1
Aaj hyach Muslim chya dokya Vr natmastk hotat,1
Sahebach fakta baki sagle hijde,1
Udhav n sudha bala saheba thakre cheya vathe  var ja,2
BALASHEB PUNHA HONE NAHI,1
Vakai me ser tha kulm kulla chitda udvla sahebani,1
Hindu ,2
bahut yad ati h apki bala sahab,2
Shivaji Maharajaanche jyada Sardaar Muslim hote Raajyana Musalmaananver Bharpur vishwas hota prem aapulki aader hota khaas Raigadaaver Masjid baadhun dili hoti,1
Bolne sope aste pratshkyat karun dakhva tevha kalel,2
Om,2
atyant vait vaytt aaj chi hi secular shivsena baghun kuthey ti balasahebanchi kattar hindutva vadi shivsena ani kuthey hi aaj kal chi secular shivsena ,3
vagh a vagh,2
Bala saheb nantar aata fakt raj thakre hey matra tevdech khara,3
Mi Marathi,2
Kuthe balasahebanchi shiv sena ani kuthe atachi shivsena,2
Sahebbaghatumchua lekane kuthe  thevlai tumcha Maharashtra,3
Don no  shaheb,3
Narkaat latha khat asel ha chutya,1
Saheb fakta tumhich ,2
Srv manatat saheb miss u pn maja raja ky sangun gele te konich lakshat nai det re saheb je sagun gele na te kara aani tyna aaplya dokyat aani manat jivant theva,3
Hindu Warrior and Maharashtrian Lion,3
the real Hero bal thakre,3
Yeh admi insaan tha lekin janvaro Jaisa dimag tha iska chutiya bal thakre,1
Icon of Maharashtra,3
Raj saheb he balasahebanchi  same jhalak aahai jay MNS,3
Babasahebana Maza triwar koti mujara,3
Who is here Bengali ,2
Par congress shivsena ki aj satta hai,1
very very nice,3
Shivsena Zindabad ,3
Marathi is not only name it is a brand,2
Asa bedhadak pana udhavsahebanmadhe nahiani kontyach pudharyat nahiek kattar balasahebancha bhaktjay Maharashtra jay balasaheb,3
Khary landyana avrl nahi tr ek divas mughlanch rajy nakki yeyil  Marathi mansa jaga ho ,3
He stood for Hindutwa when everyone was afraidHe prepared Hindus to fightback Jihadistshe has clear cut thinking ,3
The last voice was of Chetan Shashital,2
Saheb gele ata Mumbai apli asne sakya nahi karan saheban sarkha backup parat hone nahi,1
mala laandiya bolle saheb ni  mee radtoe,2
Legend Manniya balasaheb thakre saheb,3
Rajkaran kara pan hindu musalman  madhe zagde lavun kashala krayche asel tar mumbai chya lokanna rojgar dya ter te pan aaplya payavar ubhe rahtil,1
Shivam lolage,2
Beta gandu nikla,1
Sat sat pranam,2
tiger ,2
Jai Shree Ram  Jai Bhavani ,3
He wanted to get the maratha glory back that was lost after panipat such a mysterious man so serious and funny at the same time,3
Live lion,2
"My favorite 
Only bala saheb thakre
One man army
Tod nahi",2
I am shiv bhakta ,3
My hero,3
Only saheb ,2
Kdk,3
Good speech,3
kdk,3
Kadak,3
Nice one,2
Aamche saheb,2
Nice,3
mast,3
HINDU HIRDAYSAMARAT,3
Saheb tar Saheb aahe      my      love,3
Jay shiwaji jay bhawai,3
Wagh to waghach,3
Akach Saheb Bala saheb  ,3
Saheb,2
I miss you saheb,2
vishal,2
Farach sunder,3
 plz   ,2
miss you sar,2
nadch khula,1
nice,3
the king,2
euuuuuuuuuuuuu,2
Saheb tumhi pahije,2
Ekch saheb balasaheb,2
lai bhari saheb,3
Sahab parath ya ,2
King,2
Ek saheb bal saheb,2
True lion in human being,3
Saheb arat yaAa,2
Balasaheb Thackeray is great,3
Fakt saheb,2
Jabardast dada Saheb,3
Muraro,2
Tumchya mulane shiv senechi waat lavli saheb ,1
jay maharashtra,3
Khara vagh ,1
Balasaheb comon,2
Ek cha Sena shiv sena,2
Balasaheb fakt jab tak hai dam shivsena Mai Rahenge Hum,3
ch sahebh balasahebh,3
Jay balasheb,3
nice video,3
Only saheb,3
Miss u Saheb,3
Bada saheb great,3
jay shivray,3
Only Balasaheb,2
Tumhi parat yaa,2
Jay Bala saheb,3
King of the world ,3
very nice,3
"Vaghacha nad karayacha nahi 
Jay Maharashtra",1
mumbait marathi manus tikavanyasathi sangharsh kara,3
Hindustan sher  mard  ekach saheb balasaheb  dusra konihi nahi  baki sagle duplicate,1
nice bor,3
Jay Maharashtra Jay shivsena ,3
Jay Maharashtra bala saheb,3
miss u saheb fakt ekch saheb aamche bala saheb,3
Saheb aata pan aamcha raktat aahet,3
Ek tha tiger BALA SAHEB,2
saheb tumachi aatavan satat yete,3
Naad karaycha nay sahebancha,3
King toch king mhanje amche thakre saheb,3
maratha cha shasan tyar kelt jai maharastra,3
EKach saheb balasaheb,3
saheb puna janmala ya,3
saheb parat ya o,2
Only Shivsena Saheb,3
Jay Maharashtra,3
Akshay is an VA in CNN,2
saheb tumhi padavar astetar he kon padavar naste,1
saheb tumhi padavar astetar he kon padavar naste,1
Shayb tu Aste,2
Great great Balasahebhindhuhirdya samratshat shat Naman,3
Remot mhne bjp ca,1
Fakt maratha,2
waagh ha waaghacha aasto Jay Maharashtra,3
jai maharashtra  only shiv sena,3
Balasaheb our pride bola hindu hridya samrat,3
the real tiger,3
King is king,3
Saheb,2
ak number saheb ,3
                   stra     ,2
king is king,3
World madhi fakt ekach saheb aani te fakt balasaheb thakare baki  sab bhangar,2
"  
    
    ",2
Only balasaheb,2
One man showOne man army,3
Balasaheb hote mhanun maharashtra mumbai madhe marathi manus rahilay,3
Saheb,2
Jai SHIVRAY,2
Sivsena dindabad,3
"Aplay Maharshtra LA Tumcha Sarkya  nete Chi Garaj ahe 
Jai mahashtra",3
Laandyanchya Dhungnanwar laat maara Dawood ne tar Dhungnaatach asa Ghusavla ki shabdach nighala naahi,1
Pan ata kuthe tari shivsena haravleli ahe balasaheb tumchi  garaj ahe,1
rada,1
jai shree ram jai shree ram,3
tumchya sarkhe yachat himat nahe saheb aata tumhi aasta AK Maratha lakh Maratha koti Maratha zala aasta,1
Rada,2
Punha janma ghya saheb,1
Saheb  Saheb,2
Very nice,3
Mite Namiyo ke nisha kese kaese khbise kaa gai Harami kaese kaese ,1
laxmi,2
"saheb tumchi jarurat ahe amhala we miss you so much 
ata shivsena bharpur badaleli ahe pan tumche naav ahe mhanunch amhi support ahe",2
Only balasaheb thaker,3
boss is boss king balasahebana maza saprem namaskar,3
Jabardast saheb,3
Raje jay shivsena,3
Saheb tumi gelya pasun UP ani landyachi aavkat khup vadle tyana lay maaj aalay,2
Bestluck shiv senafor going solo,3
Kdk,3
Jagachi jan bhartachi shan,3
Hijde gpp bsle bola ata,1
jay shiv sena,3
Yek te shivaji raje jyani maharashtrachi laj rakhli aahi dusre balasaheb thackray doghanahi maza manacha mujra,1
"A real Tiger of India
sab ka baap hai Bala saheb
Amar rahe Amar rahe",3
Mumbai la botavar nachavnare  kach fakta bala saib,2
Sahebanchi movie kadi relise hot ahe,2
D      ,2
Jay maharastrasaheb tumchi aathavan yete,2
Bada saheb chi antim asthi visarjan van my sajauli hoti mumbai goregaon madhe,2
King is maharashtra,2
No challenge for balasaheb raje,1
"Baap baap hota hai

Salute Balasaheban",2
maharashtara me bag bag karne se kuch nhi dam hai to up bihar me bhagwa ghuma ke dikha gand or lat marte dusre stetas me muslmano ka dushmn hai tu kitna ghatiya bat ki jatiwad khatam karo salo,1
Fakt ach saheb raj saheb aani balasaheb,2
Shivaji Maharaj je Muslim virodhi kadhich navhate Balasahebani musalmanala  target karat shivsena paksh sthapan kela Ani swatachya natich lagn matra  Muslim varashi  karun dil yala mhantat katter samaj sudharak,1
"SAHEB I miss you 
Parat ya saheb ",2
"bala saheb gele tevha muslim chyq gaandit charbi aali aahe 
naahi tar aukat naahi mahrashtrat aavaj karaychi yaanchi  bhagva rakshak hindu samrat bala saheb thakre",1
"Hahaha

     ",2
such greatest  person born once in century,2
jay bhim,3
Miss you Sahab ,2
Chua cha  guru hai ha,1
"Balasahebancha bhashan jari mumbai madhe asaycha 
Tari tikde danka lahore la basaycha 
Akkha lahore thar thar kapaycha hi power hoti balasaheban madhe 
Eka isharyawar mumbai bandh karnara ",2
Kadak,3
Darpok leader Police   Aourtonke  aad me chupanewala leader,1
                                                         election                           ,2
Saheb kharch Aaj khup garaj tumchi,1
Cl yl,2
BAAP king,2
mast,3
Kdk,3
Maratha legend,3
The Great Maratha,3
 no,1
KdK,3
WAGH WAGHACH AASTO,2
Miss you,2
Cool man,3
jai Hindutav,3
HINDU LION,3
We miss u dada,3
King,3
Asli king,3
Kdkk,3
Miss you saheb,3
Saheb parat yaa,2
nice,3
kdk,3
Jai Balasaheb,3
Mast,3
Marathi tiger plz comeback yaa,2
king,2
King of the world,3
Jay balasaheb,3
Balasaheb is voice of Marathi common man,3
Miss you Balasaheb,2
 nomberrrrrrr,2
 no sir,1
jay shivaji,3
Tiger,2
Great Saheb BALASAHEB,3
Miss you saheb,2
ekach SAHEB balasaheb,3
King of hart Punjabi salut sir I love you Hindo zindabaaad,3
Nice sahib,3
Miss you Balasaheb,2
nice video,3
"Wagh to wagh ch

Nad karaycha nahi ",2
"Shevtcha diloge srvanni Angi laun ghetla pahije
Jay Maharashtra",2
Balya vhutya ahe,3
"Saheb punha ya janmala tumchi hya Maharashtra la garj ahe 
fakt Saheb",3
"Jay ho saheb 
Ekcha Sena 
Shivsena",2
Aditya  Rathod,2
Saheb tumhi punha janmala yaa,2
Saheb ani saheb,2
jay Maharashtra   ,3
Jay shivsena,3
Jay maharashtra,3
Saheb tumhi pahijen hote,3
Saheb parat ya,3
great personalitybalasaheb thakarey,3
Miss you saheb,3
mast,3
Jay Maharashtra,3
vagh tar vaghach asate,2
only one Balasaheb Thakre,2
Bal sab respect from mangalorejai shree ram,3
ekch king baki  saheb jamle te tumhalach,3
kharrach tumcyanantar mantryanwar wachk rahili nani,2
jay Maharashtra,3
Jay shivray Jay Bhim,3
Bap,2
saheb tumhi punna janmala yaa,1
Miss you saheb jay bhim,3
Bala sahib is wagh,3
jai Shree Krishna,3
abhishek Bhawsar,2
Baap Manus,3
Jai bhavani Sahebanantar konich nahi,1
jai shivsena,3
BALASAHEB tumhala manacha mujra,1
jay bhim,3
Jay maharastra,3
Only baba saheb,3
only balasaheb,3
bhari saheb,3
Ya na parat saheb,3
Bahut bal ya,2
saheb aap jaisa koi na tha na hoga,2
"sivsena   hoti 

pan atta  ",3
nitin bangude Patil,2
"Jai hind 
Jai bharat 
Vande matram",3
Jai shivsena,3
Akhya Maharashtra la tumchi garaj aahe,3
Jay shivaji Jay bhavani,3
Nyc,3
Jai Maharashtra,3
jay shivray,3
Jay shivaji jay maharashtra,3
Jai Shivray Jai shivsena,3
Saheb,2
fakt hindu,2
balashab is best hindu he,3
Only shivsana,3
"King only one 
Dalit Panther 
Jay Bhim",3
Democracy war laglela ha dhabba ahe,2
"india me ek hi tiger the 
 he or rahenge",2
hindu hriday samrat bala saheb thakre ki jay,3
Pan Uddhav hindutva visarala ahe,1
only balasaheb,3
Saheb tumhala manacha mujara,1
Balasaheb ya tumi puna ya jagat,1
Ek ch saheb bala saheb,3
Bhari,3
Razzze tumchi Maharashtra la  grj ahe,2
Jay bhim,3
Jatich rajkaran kashala pan,2
Sher the aap Sher but aap ke ldke gdhe ho gye h,1
jai ho balasahab jee ki,3
Are asi bhashan karnar  vrsh janmnal nahi ani janmnar  nahi,1
Unlike         ,1
aamche bala saheb,2
Ekach saheb baba shaeb,2
ek the taigar,2
